,Cidade,Competências,Descrição_da_empresa,Empresa,Estado,Nome_da_vaga,Termo_pesquisado,Latitude,Longitude
10,florianopolis,"*curso superior completo em estatistica, economia, tecnologia da informacao, engenharia, matematica ou areas afins;
*python / r / sql avancados;
*estatistica;
*big data, bi, machine learning e  ia;
*conhecimento contabil e sistema financeiro; desejavel  *experiencia na area.",,,SC,vaga de cientista de dados em florianopolis - sc,cientista de dados,-27.5973002,-48.5496098
11,florianopolis,"programacao, de preferencia python e r. trabalhar em plataformas na nuvem, como azure e aws. profundo entendimento de tecnicas modernas de machine learning (como os algoritmos funcionam, e nao apenas como usa-los). experiencia (profissional, academica ou pessoal) com projetos de ciencia de dados. conhecimentos de tecnicas de visualizacao (tableau, power bi, etc.). conhecimentos dos conceitos de big data (hadoop, spark, hive, hbase, etc.). conhecimentos em deep learning, implementacao em tensorflow / keras.  graduacao em engenharia, ciencia da computacao, estatistica, economia, matematica, fisica ou correlatas.",,,SC,vaga de cientista de dados em florianopolis - sc,cientista de dados,-27.5973002,-48.5496098
12,sao caetano do sul,"organizar e validar os dados gerados pelas areas de negocio. manipular grandes quantidades de dados, estruturados e nao-estruturados e transforma-los em informacoes relevantes, para que os gestores e interessados, possam tomar decisoes mais eficientes. aplicar variacoes de linguagens de programacao, como: python, r, dentre outras, para resolucao de problemas e/ou buscar padroes. procurar por ordem e padroes nos dados, identificar tendencias. elaborar dashboards com foco em processos especificos, com aplicacao de regras de negocio. garantir a qualidade dos dados, seguranca da informacao e performance dos dashboards disponiveis. prover informacoes claras e consistentes para o negocio, sobre o processo. transformar dados brutos em insights. discutir com as areas de backoffice e negocios, insights estrategicos sobre a evolucao das informacoes apresentadas nos dashboards. construir, avaliar e validar modelos preditivos e prescritivos de analises de dados. propor melhorias nos processos. experiencia no manuseio de grandes quantidades de dados, estruturados e nao-estruturados e transforma-los em informacoes relevantes, para que os gestores e interessados, possam tomar decisoes mais eficientes. conhecimentos em linguagens de programacao, como: python, r, dentre outras, para resolucao de problemas e/ou buscar padroes. conhecimento em dashboards com foco em processos especificos, com aplicacao de regras de negocio. conhecimentos solidos em: linguagens de manipulacao de dados, como sql, python, r, dentre outras. estatistica e fundamentos de machine learning e plataforma hadoop. conhecimentos em ferramentas de bi, preferencialmente no tableau, conhecimentos em alteryx; metodologias ageis como kanban e/ou scrum; desenho de processos de negocio; conhecimentos em deep learning e logica fuzzy. formacao superior em engenharia, estatistica, matematica, ciencia da computacao e cursos afins.",,,SP,vaga de cientista de dados em sao caetano do sul - sp,cientista de dados,-23.6195923,-46.5688323
13,sao paulo,"adquirir, avaliar e processar dados de varias fontes e sistemas em plataformas de big data, gerenciar dados de end to end? determinar a abordagem estrategica para o gerenciamento de dados manipulacao e transformacao dos dados, por meio de etls, pipelines, streamings, realtime ou nao. suportar correcao de bugs e analises de desempenho ao longo do pipeline de dados, colaborar com cientistas de dados para mapear campos de dados para hipoteses, organizar e preparar dados para uso em seus modelos analiticos avancados desenvolvimento de software, usando java e/ou python, controle de versao com o git, gerenciamento de dependencias usando maven e/ou pip e fluxos de trabalho em equipe usando branches, e pull requests. dominio nas linguagens de programacao: java ou python; desejavel  r. vivencia em sistemas distribuidos, incluindo conceitos como clusters, sharding e quorum. conhecimento em arquitetura hadoop, experiencia com ecossistema hadoop (  hive/spark), experiencia com jupiter notebooks ou afins e solidos conhecimentos em machine learning e deep learning.",,,SP,vaga de cientista de dados em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
14,sao paulo,"transformar as fontes de dados e informacoes em relatorios acessiveis, facilitando a tomada de decisao dos gestores da empresa. transformar as fontes de dados e informacoes em relatorios acessiveis, facilitando a tomada de decisao dos gestores da empresa.",,,SP,vaga de cientista de dados em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
15,sao paulo,"- solucionar problemas de negocios com tecnicas de orientacao a dados; - trabalhar com uma variedade de linguagens de programacao; - procurar por ordens e padroes nos dados, bem como detectar tendencias que podem ajudar os resultados da empresa; - atuar com definicao de solucao e entendimento de processos de negocio; - usar tecnicas como machine learning, deep learning e text analytics para criar solucoes novas e escalaveis; - experiencia em tecnicas de apresentacao e visualizacao de dados. - graduacao completa em ti ou matematica - experiencia com manipulacao de dados em ambiente de big data - experiencia com hadoop, streaming de dados com spark - dominio em motores de nlp, text minning e clusterizacao - conhecimento em pelo menos dois banco de dados",,,SP,vaga de cientista de dados em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
16,sao paulo,"ira atuar com ambientes de alta criticidade, com metricas e acompanhamento de desenvolvimento. experiencia no ramo automotivo ou componentes eletronicos. formacao em matematica, estatistica ou tecnologia da informacao. desejavel certificacoes como itil ou scrum (metodologias) e ferramenta siebel para crm.",,,SP,vaga de cientista de dados em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
17,sao paulo,"para fazer parte desse super time, precisamos que voce nos salve com: desenvolvimento de modelos em machine learning (ml), utilizando tecnicas como regressao, classificacao, redes neurais e deep learning. realizacao de pesquisas em diversas fontes de dados como redes sociais, geolocalizacao, microdados, scraping, entre outros. implementar e validar modelos preditivos. criar modelos estatisticos com foco em big data. compreender e trabalhar com processo de etl. experiencia com programacao em python, r e matlab. conhecimento de banco de dados sql (postgresql, mysql) e nosql (mongodb, couchdb). analisar e identificar tendencias e comportamentos com o uso de estatistica. acompanhar o desempenho dos modelos de machine learning em producao, cuidando para que eles estejam sempre cumprindo com os objetivos da empresa. desenvolver modelos matematicos que atendam as necessidades das areas negocios de acordo com um problema especifico a ser solucionado. desenvolver mecanismos de controle e qualidade que assegure a assertividade do resultado dos modelos. capacidade de comunicar os resultados com eficiencia para as areas de negocio. como e ser um #mindlaber:. e ser apaixonado por educacao e ter muita vontade de gerar um impacto positivo nas pessoas, criancas e na sociedade. e ter vontade de aprender com grandes desafios e de inovar junto de um time jovem e mega mao na massa. e ser resiliente o suficiente para encarar os diversos desafios que uma rotina dinamica de aprendizagem e rapido crescimento podem trazer. e enxergar que o usuario e a nossa razao de acordar todos os dias pela manha e vestir a camisa dessa empresa. e transformar milhares de linhas de codigo em uma potente ferramenta de transformacao social e educacional. experiencias mind lab: evolucao diaria, ambiente horizontal, aberto e dinamico, alto impacto social e muito, mas muito aprendizado para a vida! venha ser um #mindlaber!",,,SP,vaga de cientista de dados - vojo em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
18,sao paulo,"considerado a nova geracao de especialistas em analise de dados, com habilidades tecnicas para resolver problemas complexos e curiosidade para explorar quais problemas necessitam de solucao. os cientistas de dados sao em parte matematicos, cientistas da computacao e investigadores de tendencias. experiencia e conhecimento na funcao. ensino superior completo.",,,SP,vaga de cientista de dados em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
19,sao paulo,"projetar, implementar e suportar uma plataforma que fornece acesso seguro a grandes conjuntos de dados. 
interface com clientes da area comercial e estrategica da companhia, reunindo requisitos e entregando solucoes completas de bi. 
? modele dados e metadados para suportar relatorios ad-hoc e pre-construidos. 
? desenvolvimento e manter relatorios, metricas e paineis de controle continuos para impulsionar as principais decisoes de negocios. 
? reconhecer e adotar as melhores praticas em relatorios e analises: integridade de dados, projeto de teste, analise, validacao e documentacao. 
? ajustar o desempenho de aplicativos e consultas usando ferramentas de criacao de perfil e sql. 
? analisar e resolver problemas em sua raiz, recuando para entender o contexto mais amplo. 
? aprender e compreender uma ampla gama de fonte de dados, sabendo quando, como e quais usar. 
? manter-se atualizado com os avancos nas tecnologias de big data e execute os pilotos para projetar a arquitetura de dados para escalar com o aumento do volume de dados. 
melhorar continuamente os processos extracao de relatorio e analise, automatizando ou simplificando o suporte de autoatendimento para conjuntos de dados. bacharel em ciencia da computacao ou um campo tecnico relacionado: 
o experiencia na coleta de requisitos e formulacao de metricas de negocios para relatorios; 
o excelente conhecimento de ms sql server e variacoes (ssis); 
o experiencia em etl e bancos de dados em um ambiente de negocios com conjuntos de dados complexos e de grande escala; 
? forte comunicacao verbal / escrita e habilidades de apresentacao de dados, incluindo uma capacidade de comunicar eficazmente com as equipes de negocios e tecnicas. 
historico de aprendizado rapido de novas tecnologias.
paixao por aprender e usar novas tecnologias. 
 prospera em um ambiente inovador e de ritmo acelerado.",,,SP,vaga de cientista de dados em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
20,sao paulo,"resolver problemas complexos e curiosidade para explorar quais problemas necessitam de solucao. conhecimento dos conceitos de big data, map reduce, desenvolver solucoes em python e spark, utilizando as principais bibliotecas para analise de dados, e possua conhecimento em machine learning e analise e exploracao de dados. idealmente, que possua tambem conhecimentos em estatistica e probabilidade, e saiba utilizar r.",,,SP,vaga de cientista de dados em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
21,sao paulo,"atuar com metodos de modelagem e analise estatisticas como: series temporais, modelos lineares, arvore de decisao, analises de cluster, analises exploratorias, analises preditivas, analises multivariadas, algoritmos de redes neurais e data mining, inferencia bayesiana, linguagem natural, entre outros. formacao superior completa em estatistica, engenharia, fisica, matematica ou ciencias da computacao.",,,SP,vaga de cientista de dados em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
22,sao paulo,"especialistas em analise de dados, com habilidades tecnicas para resolver problemas complexos e curiosidade para explorar quais problemas necessitam de solucao. necessario conhecimento nas linguagens: python, r e java script .
conhecimentos em ciencias de dados: nlp,  fuzzy(logica nebulosa),  nocoes de similaridade, redes neurais (tensowflow, keras), modelos de classificacao (svm, random forest, logistic regression), modelos de clusterizacao (kmeans, dendogramacao).
conhecimentos em orquestracao: nodered, nodejs .
bancos de dados: mongodb, mysql, oracle.
diferencias: otimizacao matematica, cloudant, linguagem julia, sas ou spss (analise de dados).",,,SP,vaga de cientista de dados em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
23,sao paulo,"desenvolver novas campanhas, estrategias e integrar dados orientadores para iniciativas de marketing. gerenciar e fazer follow-up de todas necessidades das areas de vendas e marketing relacionado a analise de dados. desempenhar coleta de dados, preparacao de dados e modelagem, checagem da qualidade de dados, analise de dados. desempenhar ou dar suporte em visualizacao de dados. buscar padroes e dados de tendencia. criar modelos estatisticos (probabilidades, simulacoes, e previsoes, arvore de decisao, regressao linear, estatisticas multivariadas, analises preditivas). desenvolver relatorios e kpi?s (reunir requisitos, modelagem e publicacao em solucao bi). apoiar consultores de crm com insights e entendimento de dados. experiencia hands on (operacional) em desenvolvimento de dados para marketing. experiencia com ciencia de dados para marketing. experiencia pratica com modelagem de dados para marketing (rfv, lifetime value, propensao de compra, afinidade de produto e etc). forte conhecimento analitico e experiencia com relatorios, orientacao de insights, orientacao e otimizacao de dados, habilidade de converter dados em insights e e planos de acoes de sucesso. experiencia em r ou python. excel avancado. ensino superior completo na area de sistemas ou estatistica.",,,SP,vaga de cientista de dados em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
24,sao paulo,"identificar, avaliar a relevancia e preparar fontes de dados de qualquer tamanho ou complexidade. preparar dados, considerando limpeza, enriquecimento, estruturacao e viabilizacao de amostragens. realizar analises exploratorias de dados, para gerar insights e propor melhorias e otimizacoes baseadas em mineracao de dados. investigar e interpretar questoes do negocio e avaliar as melhores tecnicas a serem aplicadas para solucoes. utilizar bi para apresentar os resultados e acompanhamento de outputs de algoritmos. criar e manter data warehouses. produzir analises detalhadas sobre comportamento de variaveis, e criar modelos estatisticos a partir de fontes diversas de dados. criar rotinas para automatizar a extracao e processamento de dados. atuar no planejamento e estrategia para estruturacao de solucoes de big data e estruturacao de data lake. estruturar modelos de machine learning. apresentar os resultados de forma estruturada e utilizando todos os recursos visuais disponiveis. gerir indicadores de performance (kpis) e dashboards. criacao e manutencao de documentacao das solucoes aplicadas. suportar a governanca de dados, estruturando e mantendo um dicionario de dados. experiencia comprovada com bancos de dados sql e sql data models. solidos conhecimentos conceituais de nosql e praticos em uma ou mais das seguintes solucoes: hbase, cassandra, riak, redis, mongodb. conhecimento em desenvolvimento, publicacao e manutencao de ferramentas de bi, tais como: power bi, service now, google cloud, tableau, klipfolio, qlink, etc.. experiencia de utilizacao e configuracao de ferramentas de etl. experiencia com plataformas de cloud distribuidas. experiencia comprovada na criacao, interpretacao e uso de modelos matematicos e estatisticos das mais variadas bibliotecas atuais (python, r, tensor flow, h2o, etc.). desejavel conhecimento de sistema de mensagens distribuidas de alto rendimento (kafka). desejavel conhecimento em ferramentas de digital analytics. desejavel conhecimento de aplicacoes e bibliotecas de machine learning (tais como: svm, deep learning, azure machine learning, amazon machine learning, r, spark ml, mllib, scikit learn), assim como tecnicas de regressoes e sistemas de recomendacao. deep learning e reinforcement learning sao diferenciais. conhecimento em softwares estatisticos, como por exemplo minitab. familiaridade com mdm, aws, git, jira, jenkins e outras ferramentas de devsecops, alem de metodologias agile e scrum. conhecimentos em lgpd, gdpr e outras regulamentacoes relacionadas a dados. conhecimentos avancados de excel, access e vba e automatizacao de relatorios.  altamente desejavel certificacoes, como por exemplo microsoft 70-767, 70-768, 70-775, 70-778, 70-779, mcsa, ibm certified data archtecht, cap ou aws csa), tendo sido responsavel por estudos com diversas bases de informacao e apresentado resultados e",,,SP,vaga de cientista de dados em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
25,sao paulo,"desenvolver novas campanhas, estrategias e integrar dados orientadores para iniciativas de marketing. gerenciar e fazer follow-up de todas necessidades das areas de vendas e marketing relacionado a analise de dados. desempenhar coleta de dados, preparacao de dados e modelagem, checagem da qualidade de dados, analise de dados. desempenhar ou dar suporte em visualizacao de dados.
buscar padroes e dados de tendencia. criar modelos estatisticos (probabilidades, simulacoes, e previsoes, arvore de decisao, regressao linear, estatisticas multivariadas, analises preditivas).desenvolver relatorios e kpi?s (reunir requisitos, modelagem e publicacao em solucao bi). apoiar consultores de crm com insights e entendimento de dados. experiencia hands on (operacional) em desenvolvimento de dados para marketing. solida experiencia de pelo menos 3 anos com ciencia de dados para marketing. experiencia pratica com modelagem de dados para marketing (rfv, lifetime value, propensao de compra, afinidade de produto e etc). forte conhecimento analitico e experiencia com relatorios, orientacao de insights, orientacao e otimizacao de dados, habilidade de converter dados em insights e e planos de acoes de sucesso. experiencia em r ou python. excel avancado. certificado em cientista de dados. certificado analytics professional (cap). ensino superior na area de sistemas ou estatistica.",,,SP,vaga de cientista de dados em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
26,sao paulo,"lidar com volume de dados de diversas fontes diferentes. coletar os dados que serao utilizados nas analises. realizar analise exploratoria dos dados. interagir com a equipe de engenheiros de dados para selecionar e priorizar as entregas. selecionar e implantar tecnicas e algoritmos de machine learning ou ia para a resolucao dos problemas selecionados. trabalhar adotando metodologias ageis. desenvolver e reportar relatorios para justificar as tecnicas adotadas. realizar visitas e interacoes com os clientes a fim de entender a sua real necessidade. formacao em estatistica, engenharia, fisica, matematica, ciencias da computacao. conhecimentos em banco de dados relacionais (sql server, mysql, postgresql) e nao relacionais (mongodb). experiencia com r e python. conhecimentos de ferramentas para im",,,SP,vaga de cientista de dados em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
27,sao paulo,"tecnicas de machine learning, manipulacao e transformacao de dados estruturados e nao estruturados, ter compreensao de estatistica, incluindo testes e distribuicoes.
dominio das linguagens de programacao python e r.
desejavel conhecimentos em spark e hadoop, gestao de projetos.
formacao em matematica, estatistica, fisica, engenharia ou ciencias da computacao.",,,SP,vaga de cientista de dados em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
28,sao paulo,"gigante nacional, atuante do segmento de servicos para saude, com vasta area de tecnologia, busca por um cientista de dados com experiencia relevante em logica de programacao. esse profissional ira atuar na celula de inteligencia artificial da empresa desenvolvimento de modelos para analise preditiva utilizando machine learning e inteligencia artificial. gerar analises e insights que tragam valor financeiro, de imagem e/ou inovacao para a companhia. desenvolver dashboards, complexos ou nao, que visem melhora operacional, aumento de receita e/ou reducao de custo para os processos da companhia. apoiar as areas internas da companhia no desenvolvimento de visao analitica dos dados, analise estatistica e matematica e otimizacao. estruturar, tratar e correlacionar diferentes bancos de dados. disseminar o conceito de democratizacao de dados para dentro da companhia. estar atento e em constante busca de inovacao. conhecimentos em excel, r, python, sql e ferramentas de bi como o tableau e power bi. logica de programacao e banco de dados sql, desenvolvimento r e pyhton. conhecimento de metodos de machine learning e bi. estatistica avancada.",,,SP,vaga de cientista de dados em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
29,sao paulo,"a stefanini labs, celula de inovacao da stefanini, esta em busca de um cientista de dados para compor o time. necessario conhecimento nas linguagens: python, r e java script conhecimentos em ciencias de dados: nlp, fuzzy(logica nebulosa). nocoes de similaridade. atuar com redes neurais (tensowflow, keras), modelos de classificacao (svm, random forest, logistic regression), modelos de clusterizacao (kmeans,dendogramacao). conhecimentos em orquestracao: nodered, nodejs, bancos de dados: mongodb, mysql, oracle. ingles avancado. diferencias: otimizacao matematica, cloudant, linguagem julia - sas ou spss (analise de dados).",,,SP,vaga de cientista de dados em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
30,sao caetano do sul,"desenvolver modelos estatisticos para exploracao dos dados de diversas origens, gerando insights e identificando oportunidades de melhoria nos processos e nos resultados. ser ponto focal de contato com as areas de negocio, mapeando as necessidades de informacao e transformando em solucao analitica. simplificacao dos metodos de exploracao, utilizando tecnicas estatisticas. desenvolver processos de etl, utilizando melhores praticas de modelagem de bi. suportar todos os processos de governanca de dados. suportar o planejamento e definicao de estrategia para estruturacao de data lake e solucoes de big data, inteligencia artificial e machine learning. formacao superior em engenharia, estatistica, matematica, ciencia da computacao e areas correlatas. diferencial especializacao em ciencia de dados e big data. experiencia em linguagens de manipulacao de dados (sql) e estatistica (python, sas ou r). desejaveis conhecimentos em machine learning e plataforma hadoop. desejavel conhecimento em ferramentas de bi, preferencialmente no tableau, alteryx, metodologias ageis como kanban ou scrum e desenho de processos de negocio.",,,SP,vaga de cientista de dados em sao caetano do sul - sp,cientista de dados,-23.6195923,-46.5688323
31,sao paulo,"levantamento e documentacao de requisitos, captura e manipulacao de dados, tratamento e higienizacao de dados (funcao principal), criacao da arquitetura de coleta e transformacao de dados em informacoes confiaveis, exploracao e analises descritivas, garantir entregas dentro do prazo e com qualidade. dominio em python, dominio em sql spark, (desejavel), business intelligence, big data e modelos estatisticos (diferencial). desejavel conhecimento em call center.",,,SP,vaga de cientista de dados junior em sao paulo - sp,cientista de dados,-23.5506507,-46.6333824
